Entity,Code,Year,C02_Emissions,C02_PerCapita,id
Afghanistan,AFG,2022,12147948,0.724742358,4
Albania,ALB,2022,4954730,2.603892614,8
Algeria,DZA,2022,176345140,5.683882584,12
Angola,AGO,2022,16070269,1.874899783,24
Antigua and Barbuda,ATG,2022,602192,3.597742328,28
Argentina,ARG,2022,192864430,7.82933219,32
Armenia,ARM,2022,6407760,3.687083005,51
Australia,AUS,2022,392279260,21.75371281,36
Austria,AUT,2022,61488424,8.248104573,40
Azerbaijan,AZE,2022,38062656,6.061075004,31
Bahamas,BHS,2022,2120000,4.916745546,44
Bahrain,BHR,2022,37795670,35.25102912,48
Bangladesh,BGD,2022,102103340,1.608366686,50
Barbados,BRB,2022,1232837,3.422296904,52
Belarus,BLR,2022,58801130,9.005941599,112
Belgium,BEL,2022,89605360,9.053552465,56
Belize,BLZ,2022,725231,2.186098189,84
Benin,BEN,2022,8432160,1.273021162,204
Bermuda,BMU,2022,445408,6.313965242,60
Bhutan,BTN,2022,1055528,3.780322153,64
Bolivia,BOL,2022,21493740,4.585430225,68
Bosnia and Herzegovina,BIH,2022,19735710,8.459853625,70
Botswana,BWA,2022,7467293,5.012916067,72
Brazil,BRA,2022,483477300,5.965801432,76
Brunei,BRN,2022,10753688,26.4303098,96
Bulgaria,BGR,2022,46147496,7.855796147,100
Burkina Faso,BFA,2022,5962168,1.516651925,854
Burundi,BDI,2022,798451,0.540205373,108
Cambodia,KHM,2022,19955042,2.805569871,116
Cameroon,CMR,2022,9572651,1.408541595,120
Canada,CAN,2022,547943900,19.391499,124
Cape Verde,CPV,2022,568778,2.094419027,132
Central African Republic,CAF,2022,226226,2.38235926,140
Chad,TCD,2022,2369204,5.372159494,148
Chile,CHL,2022,84377720,6.440592405,152
China,CHN,2022,11396777000,11.11330123,156
Colombia,COL,2022,99717870,4.370677635,170
Comoros,COM,2022,412760,0.822643408,174
Congo,COG,2022,7431930,3.862149974,178
Cook Islands,COK,2022,68043,9.077539675,184
Costa Rica,CRI,2022,7888694,3.185327644,188
Cote d'Ivoire,CIV,2022,11734159,1.141965209,384
Croatia,HRV,2022,17526086,6.180746794,191
Cuba,CUB,2022,20921022,3.423734066,192
Cyprus,CYP,2022,7029358,8.380402917,196
Czechia,CZE,2022,97969300,10.76662114,203
Democratic Republic of Congo,COD,2022,3601595,0.571576117,180
Denmark,DNK,2022,29059308,7.131175083,208
Djibouti,DJI,2022,453036,2.048422656,262
Dominica,DMA,2022,153220,1.933150119,212
Dominican Republic,DOM,2022,23637946,4.234139374,214
East Timor,TLS,2022,668892,1.362649661,626
Ecuador,ECU,2022,41613410,4.082793855,218
Egypt,EGY,2022,258951660,3.107448864,818
El Salvador,SLV,2022,7714380,1.984085384,222
Equatorial Guinea,GNQ,2022,5076202,4.519157333,226
Eritrea,ERI,2022,696826,1.103191516,232
Estonia,EST,2022,10311845,11.14350262,233
Eswatini,SWZ,2022,1265046,2.17995386,748
Ethiopia,ETH,2022,19073260,1.408252794,231
Fiji,FJI,2022,1073925,3.610395728,242
Finland,FIN,2022,36163000,7.711364117,246
France,FRA,2022,297533920,5.805588728,250
French Polynesia,PYF,2022,873217,4.659509571,258
Gabon,GAB,2022,5705554,9.374542457,266
Gambia,GMB,2022,770472,0.756731287,270
Georgia,GEO,2022,11092909,4.933735773,268
Germany,DEU,2022,665604700,8.258761667,276
Ghana,GHA,2022,20806944,1.477603749,288
Greece,GRC,2022,59662764,6.290621156,300
Greenland,GRL,2022,591718,11.3555203,304
Grenada,GRD,2022,340416,1.805470782,308
Guatemala,GTM,2022,19193244,2.32581039,320
Guinea,GIN,2022,4953613,1.928519498,324
Guinea-Bissau,GNB,2022,326745,1.398077013,624
Guyana,GUY,2022,3537124,10.20048394,328
Haiti,HTI,2022,2446681,1.16268992,332
Honduras,HND,2022,11159723,2.255031635,340
Hungary,HUN,2022,44353616,6.403234036,348
Iceland,ISL,2022,3542503,11.88585759,352
India,IND,2022,2829644300,2.900418309,356
Indonesia,IDN,2022,728883260,4.28743842,360
Iran,IRN,2022,690635260,11.64308286,364
Iraq,IRQ,2022,179080800,8.08434087,368
Ireland,IRL,2022,38784012,11.57759995,372
Israel,ISR,2022,56118090,5.364142847,376
Italy,ITA,2022,338097280,6.359087497,380
Jamaica,JAM,2022,6487594,2.787883854,388
Japan,JPN,2022,1053797800,8.310948801,392
Jordan,JOR,2022,22912578,3.189584596,400
Kazakhstan,KAZ,2022,271178270,16.60102529,398
Kenya,KEN,2022,24851922,1.881294698,404
Kiribati,KIR,2022,68043,1.017002039,296
Kuwait,KWT,2022,109190000,37.4477629,414
Kyrgyzstan,KGZ,2022,9449704,3.320818769,417
Laos,LAO,2022,23193406,5.645887059,418
Latvia,LVA,2022,6591454,5.948692684,428
Lebanon,LBN,2022,23904522,4.266353882,422
Lesotho,LSO,2022,3134694,1.080083555,426
Liberia,LBR,2022,876934,0.824670294,430
Libya,LBY,2022,62961304,13.91294662,434
Lithuania,LTU,2022,12667216,7.350269012,440
Luxembourg,LUX,2022,7524108,12.53737327,442
Madagascar,MDG,2022,4403593,1.10731433,450
Malawi,MWI,2022,2094072.1,0.894304636,454
Malaysia,MYS,2022,291071360,9.534026183,458
Maldives,MDV,2022,1701072,6.446663813,462
Mali,MLI,2022,7038757,2.05223209,466
Malta,MLT,2022,1655127,4.654153909,470
Mauritania,MRT,2022,4534088,3.199471776,478
Mauritius,MUS,2022,4249021,4.842763878,480
Mexico,MEX,2022,511971970,5.148110568,484
Moldova,MDA,2022,5422021,3.405182677,498
Mongolia,MNG,2022,37894484,25.14405524,496
Morocco,MAR,2022,68411810,2.78196798,504
Mozambique,MOZ,2022,8003215,0.966468862,508
Myanmar,MMR,2022,34922210,2.049242341,104
Namibia,NAM,2022,3952970,4.503905995,516
Nepal,NPL,2022,15499952,1.821097277,524
Netherlands,NLD,2022,125358230,8.701056176,528
New Zealand,NZL,2022,32211814,16.99491656,554
Nicaragua,NIC,2022,5550354,3.122184227,558
Niger,NER,2022,3058157,1.569557024,562
Nigeria,NGA,2022,128759470,1.73201986,566
North Korea,PRK,2022,50871636,3.446174546,408
North Macedonia,MKD,2022,7588422,5.440205409,807
Norway,NOR,2022,40808000,10.12082436,578
Oman,OMN,2022,71986390,23.42702587,512
Pakistan,PAK,2022,200199900,2.425285789,586
Palau,PLW,2022,219249,65.28925357,585
Panama,PAN,2022,11899901,4.755684709,591
Papua New Guinea,PNG,2022,7823140,1.040133585,598
Paraguay,PRY,2022,9018049,5.691080017,600
Peru,PER,2022,60921110,2.732464086,604
Philippines,PHL,2022,150395980,2.23715167,608
Poland,POL,2022,323117300,9.668693191,616
Portugal,PRT,2022,41605030,5.240716561,620
Qatar,QAT,2022,101340350,52.56505456,634
Romania,ROU,2022,73521290,5.539110444,642
Russia,RUS,2022,1652177300,18.65897207,643
Rwanda,RWA,2022,1547760,0.536728466,646
Saint Kitts and Nevis,KNA,2022,224486,3.008174006,659
Saint Lucia,LCA,2022,470351,2.465939413,662
Saint Vincent and the Grenadines,VCT,2022,238739,1.358334162,670
Samoa,WSM,2022,249491,3.167370566,882
Sao Tome and Principe,STP,2022,132255,1.302379462,678
Saudi Arabia,SAU,2022,662549400,22.17394477,682
Senegal,SEN,2022,11668435,1.550154888,686
Seychelles,SYC,2022,658828,13.801118,690
Sierra Leone,SLE,2022,1129488,0.812283815,694
Singapore,SGP,2022,53252430,12.21676245,702
Slovakia,SVK,2022,34151680,8.220233319,703
Slovenia,SVN,2022,12714800,7.689191069,705
Solomon Islands,SLB,2022,298633,1.053827115,90
Somalia,SOM,2022,646921,1.846377449,706
South Africa,ZAF,2022,404053980,8.614203546,710
South Korea,KOR,2022,600999360,12.58364396,410
Spain,ESP,2022,245613820,6.152238772,724
Sri Lanka,LKA,2022,17327094,1.806474897,144
Sudan,SDN,2022,22013348,2.231504721,729
Suriname,SUR,2022,3586520,6.324395549,740
Sweden,SWE,2022,38050544,4.761839422,752
Switzerland,CHE,2022,35380164,4.911416891,756
Syria,SYR,2022,27635256,1.91900268,760
Tajikistan,TJK,2022,10017384,2.141028632,762
Tanzania,TZA,2022,15569999,1.309434757,834
Thailand,THA,2022,270746370,6.331179021,764
Togo,TGO,2022,2575560,1.180130322,768
Tonga,TON,2022,189008,3.027493144,776
Trinidad and Tobago,TTO,2022,34331736,24.75526721,780
Tunisia,TUN,2022,35576780,3.561792478,788
Turkey,TUR,2022,435684600,7.10071959,792
Turkmenistan,TKM,2022,70958350,15.73405317,795
Uganda,UGA,2022,6021782,1.029870702,800
Ukraine,UKR,2022,141253000,5.035250382,804
United Arab Emirates,ARE,2022,243895220,26.2906836,784
United Kingdom,GBR,2022,318654370,5.54518804,826
United States,USA,2022,5057303600,17.60821797,840
Uruguay,URY,2022,7893098,11.80105208,858
Uzbekistan,UZB,2022,120610190,6.231305462,860
Vanuatu,VUT,2022,207909,2.148116351,548
Venezuela,VEN,2022,76892000,4.441430536,862
Vietnam,VNM,2022,343606620,5.185076557,704
Yemen,YEM,2022,11356347,1.000120096,887
Zambia,ZMB,2022,8921889,1.495361982,894
Zimbabwe,ZWE,2022,8855981,1.648735324,716
