Entity,Code,Year,Annual_Investment,id,Total_Investment
Albania,ALB,2014,4578426,8,4578426
Albania,ALB,2016,2258014,8,6836440
Albania,ALB,2019,7419258,8,14255698
Albania,ALB,2020,4187914,8,18443612
Argentina,ARG,2013,1163174,32,1163174
Argentina,ARG,2014,1144607,32,2307781
Argentina,ARG,2016,1129007,32,3436788
Argentina,ARG,2017,5527297,32,8964085
Argentina,ARG,2018,1079101,32,10043186
Argentina,ARG,2019,3179682,32,13222868
Argentina,ARG,2020,26174463,32,39397331
Argentina,ARG,2021,17000000,32,56397331
Armenia,ARM,2020,3140936,51,3140936
Armenia,ARM,2021,12000000,51,15140936
Australia,AUS,2013,1163174,36,1163174
Australia,AUS,2014,1144607,36,2307781
Australia,AUS,2015,92603272,36,94911053
Australia,AUS,2016,89191555,36,184102608
Australia,AUS,2017,46429296,36,230531904
Australia,AUS,2018,182368151,36,412900055
Australia,AUS,2019,264973486,36,677873541
Australia,AUS,2020,419838381,36,1097711922
Australia,AUS,2021,2465000000,36,3562711922
Austria,AUT,2013,3489523,40,3489523
Austria,AUT,2014,6867639,40,10357162
Austria,AUT,2015,2286501,40,12643663
Austria,AUT,2016,5645035,40,18288698
Austria,AUT,2017,15476432,40,33765130
Austria,AUT,2018,59350582,40,93115712
Austria,AUT,2019,104929501,40,198045213
Austria,AUT,2020,148670948,40,346716161
Austria,AUT,2021,275000000,40,621716161
Bahrain,BHR,2021,40000000,48,40000000
Bangladesh,BGD,2019,1059894,50,1059894
Barbados,BRB,2016,20322126,52,20322126
Belarus,BLR,2016,2258014,112,2258014
Belarus,BLR,2017,8843675,112,11101689
Belarus,BLR,2020,2093957,112,13195646
Belgium,BEL,2013,8142221,56,8142221
Belgium,BEL,2014,28615164,56,36757385
Belgium,BEL,2015,137190032,56,173947417
Belgium,BEL,2016,76772478,56,250719895
Belgium,BEL,2017,318372312,56,569092207
Belgium,BEL,2018,48559567,56,617651774
Belgium,BEL,2019,170642925,56,788294699
Belgium,BEL,2020,392616940,56,1180911639
Belgium,BEL,2021,505000000,56,1685911639
Belize,BLZ,2019,10598939,84,10598939
Bermuda,BMU,2014,30904377,60,30904377
Bermuda,BMU,2017,86225835,60,117130212
Bermuda,BMU,2020,5234893,60,122365105
Bermuda,BMU,2021,50000000,60,172365105
Botswana,BWA,2014,1144607,72,1144607
Botswana,BWA,2015,1143250,72,2287857
Botswana,BWA,2019,1059894,72,3347751
Botswana,BWA,2021,1000000,72,4347751
Brazil,BRA,2013,2326349,76,2326349
Brazil,BRA,2014,21747525,76,24073874
Brazil,BRA,2015,144049534,76,168123408
Brazil,BRA,2016,14677091,76,182800499
Brazil,BRA,2017,129338752,76,312139251
Brazil,BRA,2018,212582993,76,524722244
Brazil,BRA,2019,423957578,76,948679822
Brazil,BRA,2020,811408343,76,1760088165
Brazil,BRA,2021,618000000,76,2378088165
Bulgaria,BGR,2013,1163174,100,1163174
Bulgaria,BGR,2014,1144607,100,2307781
Bulgaria,BGR,2015,28581257,100,30889038
Bulgaria,BGR,2017,1105459,100,31994497
Bulgaria,BGR,2018,130571280,100,162565777
Bulgaria,BGR,2019,2119788,100,164685565
Bulgaria,BGR,2021,1000000,100,165685565
Canada,CAN,2013,145396812,124,145396812
Canada,CAN,2014,193438508,124,338835320
Canada,CAN,2015,377272589,124,716107909
Canada,CAN,2016,1742057840,124,2458165749
Canada,CAN,2017,722970459,124,3181136208
Canada,CAN,2018,1724404178,124,4905540386
Canada,CAN,2019,1565463357,124,6471003743
Canada,CAN,2020,1700293096,124,8171296839
Canada,CAN,2021,3362000000,124,11533296839
Cayman Islands,CYM,2017,3316378,136,3316378
Cayman Islands,CYM,2018,9711913,136,13028291
Cayman Islands,CYM,2020,3140936,136,16169227
Cayman Islands,CYM,2021,16000000,136,32169227
Chile,CHL,2013,1163174,152,1163174
Chile,CHL,2014,114460656,152,115623830
Chile,CHL,2017,8843675,152,124467505
Chile,CHL,2018,89565424,152,214032929
Chile,CHL,2019,33916606,152,247949535
Chile,CHL,2020,95275044,152,343224579
Chile,CHL,2021,270000000,152,613224579
China,CHN,2013,140744114,156,140744114
China,CHN,2014,1713476018,156,1854220132
China,CHN,2015,1632561385,156,3486781517
China,CHN,2016,5686808385,156,9173589902
China,CHN,2017,5181288292,156,14354878194
China,CHN,2018,9731337219,156,24086215413
China,CHN,2019,8123027195,156,32209242608
China,CHN,2020,10615315084,156,42824557692
China,CHN,2021,23386000000,156,66210557692
Colombia,COL,2017,1105459,170,1105459
Colombia,COL,2019,6359364,170,7464823
Colombia,COL,2020,3140936,170,10605759
Colombia,COL,2021,15000000,170,25605759
Croatia,HRV,2016,3387021,191,3387021
Croatia,HRV,2018,6474609,191,9861630
Croatia,HRV,2019,3179682,191,13041312
Croatia,HRV,2020,1046979,191,14088291
Croatia,HRV,2021,197000000,191,211088291
Cyprus,CYP,2014,1144607,196,1144607
Cyprus,CYP,2015,2286501,196,3431108
Cyprus,CYP,2016,1129007,196,4560115
Cyprus,CYP,2017,2210919,196,6771034
Cyprus,CYP,2018,3237304,196,10008338
Cyprus,CYP,2019,3179682,196,13188020
