Entity,Code,Year,Patent_applications,id,Total
Argentina,ARG,2013,1,32,1
Argentina,ARG,2014,0,32,1
Argentina,ARG,2015,0,32,1
Argentina,ARG,2016,1,32,2
Argentina,ARG,2017,1,32,3
Argentina,ARG,2018,7,32,10
Argentina,ARG,2019,8,32,18
Argentina,ARG,2020,10,32,28
Australia,AUS,2013,77,36,77
Australia,AUS,2014,84,36,161
Australia,AUS,2015,127,36,288
Australia,AUS,2016,240,36,528
Australia,AUS,2017,288,36,816
Australia,AUS,2018,465,36,1281
Australia,AUS,2019,565,36,1846
Australia,AUS,2020,895,36,2741
Austria,AUT,2013,4,40,4
Austria,AUT,2014,2,40,6
Austria,AUT,2015,3,40,9
Austria,AUT,2016,10,40,19
Austria,AUT,2017,11,40,30
Austria,AUT,2018,12,40,42
Austria,AUT,2019,6,40,48
Austria,AUT,2020,15,40,63
Azerbaijan,AZE,2013,0,31,0
Azerbaijan,AZE,2014,0,31,0
Azerbaijan,AZE,2015,0,31,0
Azerbaijan,AZE,2016,0,31,0
Azerbaijan,AZE,2017,0,31,0
Azerbaijan,AZE,2018,1,31,1
Azerbaijan,AZE,2019,0,31,1
Azerbaijan,AZE,2020,0,31,1
Belgium,BEL,2013,1,56,1
Belgium,BEL,2014,0,56,1
Belgium,BEL,2015,0,56,1
Belgium,BEL,2016,2,56,3
Belgium,BEL,2017,2,56,5
Belgium,BEL,2018,8,56,13
Belgium,BEL,2019,2,56,15
Belgium,BEL,2020,6,56,21
Brazil,BRA,2013,39,76,39
Brazil,BRA,2014,33,76,72
Brazil,BRA,2015,58,76,130
Brazil,BRA,2016,79,76,209
Brazil,BRA,2017,83,76,292
Brazil,BRA,2018,147,76,439
Brazil,BRA,2019,145,76,584
Brazil,BRA,2020,148,76,732
Brunei,BRN,2013,0,96,0
Brunei,BRN,2014,1,96,1
Brunei,BRN,2015,0,96,1
Brunei,BRN,2016,0,96,1
Brunei,BRN,2017,0,96,1
Brunei,BRN,2018,0,96,1
Brunei,BRN,2019,0,96,1
Brunei,BRN,2020,0,96,1
Bulgaria,BGR,2013,0,100,0
Bulgaria,BGR,2014,0,100,0
Bulgaria,BGR,2015,1,100,1
Bulgaria,BGR,2017,3,100,4
Bulgaria,BGR,2018,4,100,8
Bulgaria,BGR,2019,3,100,11
Bulgaria,BGR,2020,12,100,23
Canada,CAN,2013,112,124,112
Canada,CAN,2014,118,124,230
Canada,CAN,2015,184,124,414
Canada,CAN,2016,334,124,748
Canada,CAN,2017,419,124,1167
Canada,CAN,2018,677,124,1844
Canada,CAN,2019,751,124,2595
Canada,CAN,2020,876,124,3471
Chile,CHL,2013,9,152,9
Chile,CHL,2014,1,152,10
Chile,CHL,2015,4,152,14
Chile,CHL,2016,0,152,14
Chile,CHL,2017,1,152,15
Chile,CHL,2018,1,152,16
Chile,CHL,2019,1,152,17
Chile,CHL,2020,0,152,17
China,CHN,2013,1956,156,1956
China,CHN,2014,2484,156,4440
China,CHN,2015,3946,156,8386
China,CHN,2016,7956,156,16342
China,CHN,2017,14803,156,31145
China,CHN,2018,27588,156,58733
China,CHN,2019,43810,156,102543
China,CHN,2020,66071,156,168614
Colombia,COL,2013,0,170,0
Colombia,COL,2014,0,170,0
Colombia,COL,2015,2,170,2
Colombia,COL,2016,0,170,2
Colombia,COL,2017,2,170,4
Colombia,COL,2018,0,170,4
Colombia,COL,2019,2,170,6
Colombia,COL,2020,0,170,6
Costa Rica,CRI,2013,0,188,0
Costa Rica,CRI,2014,0,188,0
Costa Rica,CRI,2015,0,188,0
Costa Rica,CRI,2016,0,188,0
Costa Rica,CRI,2017,0,188,0
Costa Rica,CRI,2018,0,188,0
Costa Rica,CRI,2019,1,188,1
Costa Rica,CRI,2020,1,188,2
Croatia,HRV,2013,0,191,0
Croatia,HRV,2014,0,191,0
Croatia,HRV,2015,1,191,1
Croatia,HRV,2016,0,191,1
Croatia,HRV,2017,0,191,1
Croatia,HRV,2018,2,191,3
Croatia,HRV,2019,1,191,4
Croatia,HRV,2020,0,191,4
Cuba,CUB,2013,0,192,0
Cuba,CUB,2014,0,192,0
Cuba,CUB,2015,0,192,0
Cuba,CUB,2016,0,192,0
Cuba,CUB,2017,0,192,0
Cuba,CUB,2018,0,192,0
Cuba,CUB,2019,0,192,0
