id,Year,Entity,Code,Patent_applications
32,2013,Argentina,ARG,1.0
32,2014,Argentina,ARG,0.0
32,2015,Argentina,ARG,0.0
32,2016,Argentina,ARG,1.0
32,2017,Argentina,ARG,1.0
32,2018,Argentina,ARG,7.0
32,2019,Argentina,ARG,8.0
32,2020,Argentina,ARG,10.0
36,2013,Australia,AUS,77.0
36,2014,Australia,AUS,84.0
36,2015,Australia,AUS,127.0
36,2016,Australia,AUS,240.0
36,2017,Australia,AUS,288.0
36,2018,Australia,AUS,465.0
36,2019,Australia,AUS,565.0
36,2020,Australia,AUS,895.0
40,2013,Austria,AUT,4.0
40,2014,Austria,AUT,2.0
40,2015,Austria,AUT,3.0
40,2016,Austria,AUT,10.0
40,2017,Austria,AUT,11.0
40,2018,Austria,AUT,12.0
40,2019,Austria,AUT,6.0
40,2020,Austria,AUT,15.0
31,2013,Azerbaijan,AZE,0.0
31,2014,Azerbaijan,AZE,0.0
31,2015,Azerbaijan,AZE,0.0
31,2016,Azerbaijan,AZE,0.0
31,2017,Azerbaijan,AZE,0.0
31,2018,Azerbaijan,AZE,1.0
31,2019,Azerbaijan,AZE,0.0
31,2020,Azerbaijan,AZE,0.0
56,2013,Belgium,BEL,1.0
56,2014,Belgium,BEL,0.0
56,2015,Belgium,BEL,0.0
56,2016,Belgium,BEL,2.0
56,2017,Belgium,BEL,2.0
56,2018,Belgium,BEL,8.0
56,2019,Belgium,BEL,2.0
56,2020,Belgium,BEL,6.0
76,2013,Brazil,BRA,39.0
76,2014,Brazil,BRA,33.0
76,2015,Brazil,BRA,58.0
76,2016,Brazil,BRA,79.0
76,2017,Brazil,BRA,83.0
76,2018,Brazil,BRA,147.0
76,2019,Brazil,BRA,145.0
76,2020,Brazil,BRA,148.0
96,2013,Brunei,BRN,0.0
96,2014,Brunei,BRN,1.0
96,2015,Brunei,BRN,0.0
96,2016,Brunei,BRN,0.0
96,2017,Brunei,BRN,0.0
96,2018,Brunei,BRN,0.0
